Pseudonym;Author;Article;Kind;Person;Country_of_author;Period_of_author;Сountry_of_person;Period_of_person;Extra_persons;Text;Name;City;Type;Issue;Year;Pages;Peculiarity
В. Вейдле;Вейдле В.В.;Рихард Биллингер;Рецензия на художественную книгу;Биллингер Р.;Австрийская литература;XXв.;;;;Das Schutzenqelhaus;Последние новости;Париж;Газета;№5145;25.04.1935;3;Чердак
В. Вейдле;Вейдле В.В.;Американское;Рецензия на художественную книгу;Фитцджеральд Ф.С.;Американская литература;XXв.;;;;Tender is the Night;Последние новости;Париж;Газета;№5149;29.04.1935;3;Подвал
Георгий Адамович;Адамович Г.В.;Нескучный сад;Рецензия на художественную книгу;Дон Аминадо;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№5152;02.05.1935;2;Подвал
С.;Калишевич Н.В.;Письма Коммиссаржевской к Чехову;Рецензия на публикацию;Соболев Ю.;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Чехов А.П.;А.П. Чехов и наш край;Последние новости;Париж;Газета;№5152;02.05.1935;3;Чердак
Р. Словцов;Калишевич Н.В.;Смерть Достоевского;Рецензия на исследование;Гроссман Л.П.;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Достоевский Ф.М.;Леонид Гроссман. Жизнь и труды Ф.М. Достоевского;Последние новости;Париж;Газета;№5152;02.05.1935;3;Подвал
Даманская А.;Даманская А.;Торжество побежденного;Рецензия на исследование;Цвейг С.;Австрийская литература;XXв.;Голландская литература;XVIв.;Роттердамский Э.;Торжество и трагедия Эразма;Последние новости;Париж;Газета;№5154;04.05.1935;5;Подвал
Ю. Сазонова;Сазонова Ю.Л.;Литература и действительность;Обзорная статья;;Общее;Общее;;;;;Последние новости;Париж;Газета;№5156;06.05.1935;3;Подвал
Р. Словцов;Калишевич Н.В.;Протопоп Аввакум;Рецензия на публикацию;Академия;Русская литература;Советская литература;Русская литература;Древнерусская;;Житие Протопопа Аввакума;Последние новости;Париж;Газета;№5157;07.05.1935;4;Подвал
Георгий Адамович;Адамович Г.В.;Россия, Русь, святость;Рецензия на художественную книгу;Осоргин М.А.;Русская литература;Эмигрантская литература;;;;Книга о концах;Последние новости;Париж;Газета;№5159;09.05.1935;2;Подвал
Мих. Ос.;Ильин M.A.;Три цвета времени;Рецензия на художественную книгу;Виноградов А.К.;Русская литература;Советская литература;;;;Три цвета времени;Последние новости;Париж;Газета;№5159;09.05.1935;3;Чердак
В. Вейдле;Вейдле В.В.;Последний Дон-Жуан;Рецензия на художественную книгу;Милош О.В. де Л.;Французская литература;XXв.;;;;Miquel Manara;Последние новости;Париж;Газета;№5159;09.05.1935;3;Чердак
Р. Словцов;Калишевич Н.В.;Князь П.А. Вяземский;Рецензия на публикацию;Нечаева В.С., Академия;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Вяземский П.А.;П.А. Вяземский. Избранные стихотворения;Последние новости;Париж;Газета;№5159;09.05.1935;3;Подвал
В. Вейдле;Вейдле В.В.;О Жюль Верне;Юбилейная статья;Верн Ж.;Французская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№5165;15.05.1935;3;Подвал
Георгий Адамович;Адамович Г.В.;«Золушка»;Рецензия на художественную книгу;Кирсанов С.;Русская литература;Советская литература;;;;Золушка;Последние новости;Париж;Газета;№5166;16.05.1935;2;Подвал
Г.А.;Адамович Г.В.;«Авенир Иванов»;Рецензия на художественную книгу;Соколовский П.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№5166;16.05.1935;3;Чердак
Георгий Адамович;Адамович Г.В.;«Поправка к революции»;Рецензия на художественную книгу;Пильняк Б.А.;Русская литература;Советская литература;;;;Рождение человека;Последние новости;Париж;Газета;№5173;23.05.1935;2;Подвал
С.;Калишевич Н.В.;Пушкинский том «Литературного наследства»;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Пушкин А.С.;Литературное наследство;Последние новости;Париж;Газета;№5173;23.05.1935;3;Чердак
Г.А.;Адамович Г.В.;«Полярная звезда»;Рецензия на издание;;Русская литература;Эмигрантская литература;;;;Полярная звезда;Последние новости;Париж;Газета;№5173;23.05.1935;3;Чердак
Ю. Сазонова;Сазонова Ю.Л.;«Отверженные на земле»;Рецензия на художественную книгу;Пулай А.;Французская литература;XXв.;;;;Les Damnés de la terre;Последние новости;Париж;Газета;№5173;23.05.1935;3;Чердак
Р. Словцов;Калишевич Н.В.;Василий Попугаев и его друзья;Рецензия на публикацию;Советский писатель;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Попугаев В.;Поэты-радищевцы. Вольное общество любителей словесности, наук и художеств;Последние новости;Париж;Газета;№5173;23.05.1935;3;Подвал
Р. Словцов;Калишевич Н.В.;Новое о Пушкине;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Пушкин А.С.;«Литературное наследство». Выпуск 16-17;Последние новости;Париж;Газета;№5178;28.05.1935;3;Подвал
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Корсак В.;Русская литература;Эмигрантская литература;;;;Юра;Последние новости;Париж;Газета;№5180;30.05.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Таль А.;Русская литература;Эмигрантская литература;;;;Грех;Последние новости;Париж;Газета;№5180;30.05.1935;2;Подвал
Мих. Ос.;Ильин M.A.;«Горы и люди»;Рецензия на художественную книгу;Ильин М.;Русская литература;Советская литература;;;;Горы и люди;Последние новости;Париж;Газета;№5180;30.05.1935;3;Чердак
М. Бенедиктов;Берхин М.;Виктор Гюго — эмигрант;Юбилейная статья;Гюго В.;Французская литература;1/2 XIXв.;;;;;Последние новости;Париж;Газета;№5181;31.05.1935;3;Подвал
В. Вейдле;Вейдле В.В.;Стивен Гудзон;Обзорная статья;Гудзон С.;Английская литература;XXв.;;;;;Последние новости;Париж;Газета;№5187;06.06.1935;2;Подвал
Г. Адамович;Адамович Г.В.;Миф о Лермонтове;Рецензия на исследование;Попов П.;Русская литература;Советская литература;Французская литература;1/2 XIXв.;Галль О. де;Письма и записки;Последние новости;Париж;Газета;№5187;06.06.1935;3;Чердак
Р. Словцов;Калишевич Н.В.;Род и родня Л.Н. Толстого;Рецензия на публикацию;Чертков В.Г., Госиздат;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Толстой Л.Н.;Л.Н. Толстой. Полное собрание сочинений;Последние новости;Париж;Газета;№5187;06.06.1935;3;Подвал
Георгий Адамович;Адамович Г.В.;Толстой и Польша;Рецензия на исследование;Ледницкий А.Р.;Польская литература;XXв.;Русская литература;2/2 XIXв.;Толстой Л.Н.;Quelques aspects du nationalisme et du christianisme chez Tolstoi;Последние новости;Париж;Газета;№5188;07.06.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;Толстой и Польша;Рецензия на исследование;Ледницкий А.Р.;Польская литература;XXв.;Русская литература;2/2 XIXв.;Толстой Л.Н.;Quelques aspects du nationalisme et du christianisme chez Tolstoi;Последние новости;Париж;Газета;№5194;13.06.1935;2;Подвал
В. Вейдле;Вейдле В.В.;Третья страница;Обзорная статья;;Итальянская литература;Общее;;;;;Последние новости;Париж;Газета;№5194;13.06.1935;3;Чердак
Г.А.;Адамович Г.В.;«Врата»;Рецензия на издание;;Русская литература;Эмигрантская литература;;;;Врата;Последние новости;Париж;Газета;№5194;13.06.1935;3;Чердак
Милюков П.;Милюков П.Н.;М.В. Ломоносов;Персональная статья;Ломоносов М.В.;Русская литература;XVIIIв.;;;;;Последние новости;Париж;Газета;№5197;15.06.1935;2;Подвал
Милюков П.;Милюков П.Н.;М.В. Ломоносов;Персональная статья;Ломоносов М.В.;Русская литература;XVIIIв.;;;;;Последние новости;Париж;Газета;№5198;16.06.1935;2;Подвал
Милюков П.;Милюков П.Н.;М.В. Ломоносов;Персональная статья;Ломоносов М.В.;Русская литература;XVIIIв.;;;;;Последние новости;Париж;Газета;№5199;17.06.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Мандельштам Ю.В.;Русская литература;Эмигрантская литература;;;;Третий час;Последние новости;Париж;Газета;№5201;20.06.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Таубер Е.;Русская литература;Эмигрантская литература;;;;Одиночество;Последние новости;Париж;Газета;№5201;20.06.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Прегель С.;Русская литература;Эмигрантская литература;;;;Разговор с памятью;Последние новости;Париж;Газета;№5201;20.06.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Несмелов А.;Русская литература;Эмигрантская литература;;;;Через океан;Последние новости;Париж;Газета;№5201;20.06.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Шумаков Ю.;Русская литература;Эмигрантская литература;;;;Вне;Последние новости;Париж;Газета;№5201;20.06.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на издание;;Русская литература;Эмигрантская литература;;;;Скит;Последние новости;Париж;Газета;№5201;20.06.1935;2;Подвал
Мих. Ос.;Ильин M.A.;Отречение;Рецензия на художественную книгу;Слезкин Ю.Л.;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№5201;20.06.1935;3;Чердак
Г.А.;Адамович Г.В.;«Пушкин и пушкинисты»;Рецензия на статью;Дерман А.;Русская литература;Советская литература;Русская литература;Советская литература;Лернер Н.О.;;Последние новости;Париж;Газета;№5201;20.06.1935;3;Чердак
Г.А.;Адамович Г.В.;«Пушкин и пушкинисты»;Рецензия на статью;Дерман А.;Русская литература;Советская литература;Русская литература;Советская литература;Гершензон М.О.;;Последние новости;Париж;Газета;№5201;20.06.1935;3;Чердак
Р. Словцов;Калишевич Н.В.;История драм Лермонтова;Рецензия на издание;Академия;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Лермонтов М.Ю.;М.Ю. Лермонтов. Полное собрание сочинений. Том IV-ый. Драмы и трагедии;Последние новости;Париж;Газета;№5201;20.06.1935;3;Подвал
В. Вейдле;Вейдле В.В.;Французская академия;Юбилейная статья;;Французская литература;Общее;;;;;Последние новости;Париж;Газета;№5204;23.06.1935;3;Подвал
Георгий Адамович;Адамович Г.В.;Еще о «здесь» и «там»;Обзорная статья;;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№5208;27.06.1935;3;Подвал
Р.;Калишевич Н.В.;Из новой книги д-Аннунцио;Рецензия на публикацию;Коклес А.;Итальянская литература;XXв.;Итальянская литература;XXв.;Аннунцио Г. де;Сто, и сто, и сто, и еще сто страниц из тайной книги Габриеля д-Аннунцио, искушаемого смертью;Последние новости;Париж;Газета;№5208;27.06.1935;3;Чердак
А. Л.;;Харбинские поэты;Рецензия на издание;;Русская литература;Эмигрантская литература;;;;Излучины;Последние новости;Париж;Газета;№5208;27.06.1935;3;Чердак
Георгий Адамович;Адамович Г.В.;«Современные записки» №58;Рецензия на художественную книгу;Сирин В. (Набоков В.В.);Русская литература;Эмигрантская литература;;;;Приглашение на казнь;Последние новости;Париж;Газета;№5215;04.07.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;«Современные записки» №58;Рецензия на художественную книгу;Газданов Г.И.;Русская литература;Эмигрантская литература;;;;История одного путешествия;Последние новости;Париж;Газета;№5215;04.07.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;«Современные записки» №58;Рецензия на художественную книгу;Берберова Н.Н.;Русская литература;Эмигрантская литература;;;;Аккомпаниаторша;Последние новости;Париж;Газета;№5215;04.07.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;«Современные записки» №58;Рецензия на художественную книгу;Осоргин М.А.;Русская литература;Эмигрантская литература;;;;Вольный каменщик;Последние новости;Париж;Газета;№5215;04.07.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;«Современные записки» №58;Рецензия на художественную книгу;Штейгер А.С.;Русская литература;Эмигрантская литература;;;;Стихи;Последние новости;Париж;Газета;№5215;04.07.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;«Современные записки» №58;Рецензия на художественную книгу;Цветаева М.И.;Русская литература;Эмигрантская литература;;;;Стихи;Последние новости;Париж;Газета;№5215;04.07.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;«Современные записки» №58;Рецензия на художественную книгу;Поплавский Б.Ю.;Русская литература;Эмигрантская литература;;;;Стихи;Последние новости;Париж;Газета;№5215;04.07.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;«Современные записки» №58;Рецензия на художественную книгу;Кнут Д.;Русская литература;Эмигрантская литература;;;;Стихи;Последние новости;Париж;Газета;№5215;04.07.1935;2;Подвал
Г.А.;Адамович Г.В.;«Любовь к шестерым»;Рецензия на художественную книгу;Бакунина Е.В.;Русская литература;Эмигрантская литература;;;;Любовь к шестерым;Последние новости;Париж;Газета;№5215;04.07.1935;3;Чердак
В. Вейдле;Вейдле В.В.;Валери Ларбо;Персональная статья;Ларбо В.;Французская литература;XXв.;;;;;Последние новости;Париж;Газета;№5215;04.07.1935;3;Подвал
Р. Словцов;Калишевич Н.В.;Последние дневники Л.Н. Толстого;Рецензия на публикацию;Чертков В.Г., ГИХЛ;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Толстой Л.Н.;Л.Н. Толстой. Полное собрание сочинений. Том 58;Последние новости;Париж;Газета;№5220;09.07.1935;4;Подвал
В. Вейдле;Вейдле В.В.;Новая книга Томаса Манна;Рецензия на художественную книгу;Манн Т.;Немецкая литература;XXв.;;;;Leiden und Groesse der Meister;Последние новости;Париж;Газета;№5222;11.07.1935;3;Чердак
Мих. Ос.;Ильин M.A.;«Любовь вторая»;Рецензия на художественную книгу;Яновский В.С.;Русская литература;Эмигрантская литература;;;;Любовь вторая;Последние новости;Париж;Газета;№5222;11.07.1935;3;Чердак
Георгий Адамович;Адамович Г.В.;«Три русских романиста»;Рецензия на публикацию;Ледре Ш.;Французская литература;XXв.;Русская литература;Эмигрантская литература;Бунин И.А.;Trois romanciers russes;Последние новости;Париж;Газета;№5222;11.07.1935;3;Подвал
Георгий Адамович;Адамович Г.В.;«Три русских романиста»;Рецензия на публикацию;Ледре Ш.;Французская литература;XXв.;Русская литература;Эмигрантская литература;Куприн А.И.;Trois romanciers russes;Последние новости;Париж;Газета;№5222;11.07.1935;3;Подвал
Георгий Адамович;Адамович Г.В.;«Три русских романиста»;Рецензия на публикацию;Ледре Ш.;Французская литература;XXв.;Русская литература;Эмигрантская литература;Алданов М.А.;Trois romanciers russes;Последние новости;Париж;Газета;№5222;11.07.1935;3;Подвал
А. Д.;Даманская А.;На экране памяти;Рецензия на художественную книгу;Элленс Ф.;Бельгийская литература;XXв.;;;;Frederic;Последние новости;Париж;Газета;№5229;18.07.1935;3;Чердак
Мих. Ос.;Ильин M.A.;Австралийка;Рецензия на художественную книгу;Эргац И.М.;Французская литература;XXв.;;;;L’Australienne;Последние новости;Париж;Газета;№5229;18.07.1935;3;Чердак
А. Д.;Даманская А.;«Под-Достоевский»;Рецензия на художественную книгу;Шателион Г.;Бельгийская литература;XXв.;;;;Sous-Dostoievski;Последние новости;Париж;Газета;№5236;25.07.1935;3;Чердак
Мих. Ос.;Ильин M.A.;Вольная печать;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;;Десятилетие Вольной русской типографии;Последние новости;Париж;Газета;№5236;25.07.1935;3;Чердак
Р. Словцов;Калишевич Н.В.;Как писалось «Воскресение»;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Толстой Л.Н.;Л.Н. Толстой. Полное собрание сочинений;Последние новости;Париж;Газета;№5243;01.08.1935;3;Подвал
Мих. Ос.;Ильин M.A.;Гулящие люди;Рецензия на художественную книгу;Чапыгин А.П.;Русская литература;Советская литература;;;;Гулящие люди;Последние новости;Париж;Газета;№5243;01.08.1935;3;Чердак
Д. Лейс;;Кардуччи;Юбилейная статья;Кардуччи Д.;Итальянская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№5243;01.08.1935;3;Чердак
В. Вейдле;Вейдле В.В.;Рисунки поэтов;Обзорная статья;;Общее;Общее;;;;;Последние новости;Париж;Газета;№5244;02.08.1935;2;Подвал
Ю. Сазонова;Сазонова Ю.Л.;Жан Кокто;Рецензия на художественную книгу;Кокто Ж.;Французская литература;XXв.;;;;Portraits-souvenirs;Последние новости;Париж;Газета;№5245;03.08.1935;4;Подвал
