Author;Article;Kind;Person;Country_of_author;Period_of_author;Сountry_of_person;Period_of_person;Extra_persons;Text;Name;City;Type;Issue;Year;Pages;Peculiarity;Theme;ID
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Лаврухин Д.И.;Русская литература;Советская литература;;;;Речь по поводу;Последние новости;Париж;Газета;№4096;09.06.1932;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Алексеев Г.В.;Русская литература;Советская литература;;;;Золотая канарейка;Последние новости;Париж;Газета;№4096;09.06.1932;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Никулин Л.В.;Русская литература;Советская литература;;;;Записки спутника;Последние новости;Париж;Газета;№4096;09.06.1932;3;Подвал;;
—ъ;Мемуары В. д-Ормесона;Рецензия на художественную книгу;д-Ормесон В.;Французская литература;XXв.;;;;Мемуары;Последние новости;Париж;Газета;№4096;09.06.1932;3;Чердак;;
Георгий Адамович;«Повесть о страданиях ума»;Рецензия на художественную книгу;Буданцев С.Ф.;Русская литература;Советская литература;;;;Повесть о страданиях ума;Последние новости;Париж;Газета;№4103;16.06.1932;2;Подвал;;
Сазонова Ю.;Аргентинская эпопея;Рецензия на художественную книгу;Гальвес М.;Аргентинская литература;XXв.;;;;Смертные дороги;Последние новости;Париж;Газета;№4103;16.06.1932;3;Чердак;;
Н. К—гъ;Труды кружка любителей русской старины;Рецензия на издание;;Русская литература;Эмигрантская литература;;;Багров Л.С., Вейцман Ю.С., Левенсон Л.С.;Статьи и материалы. Из чтений Кружка любителей русской старины;Последние новости;Париж;Газета;№4103;16.06.1932;3;Чердак;;
Георгий Адамович;Русские письма;Обзорная статья;;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4110;23.06.1932;3;Подвал;Письма;
—ъ;Масарик о Достоевском;Рецензия на исследование;Масарик Т.Г.;Чешская литература;XXв.;;;Достоевский Ф.М.;;Последние новости;Париж;Газета;№4110;23.06.1932;3;Чердак;;
Г.А.;Лекция Д.С. Мережковского;Персональная статья;Мережковский Д.С.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№4110;23.06.1932;3;Чердак;;
Словцов Р.;Из литературного прошлого;Рецензия на публикацию;Буш В.В.;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Миллер О.Ф. ;Литература;Последние новости;Париж;Газета;№4110;23.06.1932;4;Подвал;;
Г.А.;Вечер Евг.Замятина;Персональная статья;Замятин Е.И.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№4113;26.06.1932;3;Чердак;;
Осоргин М.;«Числа»;Рецензия на художественную книгу;Варшавский В.С.;Русская литература;Эмигрантская литература;;;;О «герое» эмигрантской молодой литературы;Последние новости;Париж;Газета;№4117;30.06.1932;2;Подвал;;
Осоргин М.;«Числа»;Рецензия на художественную книгу;Фельзен Ю.;Русская литература;Эмигрантская литература;;;;Счастье;Последние новости;Париж;Газета;№4117;30.06.1932;2;Подвал;;
Осоргин М.;«Числа»;Рецензия на художественную книгу;Шаршун С.И.;Русская литература;Эмигрантская литература;;;;Герой интересного романа;Последние новости;Париж;Газета;№4117;30.06.1932;2;Подвал;;
Осоргин М.;«Числа»;Рецензия на художественную книгу;Буров А.;Русская литература;Эмигрантская литература;;;;?;Последние новости;Париж;Газета;№4117;30.06.1932;2;Подвал;;
Вейдле В.;О романе;Обзорная статья;;Общее;Общее;;;;;Последние новости;Париж;Газета;№4117;30.06.1932;3;Чердак;;
Георгий Адамович;Беллетрист Н. Богданов;Рецензия на художественную книгу;Богданов Н.В.;Русская литература;Советская литература;;;;Вызов;Последние новости;Париж;Газета;№4117;30.06.1932;3;Чердак;;
Словцов Р.;Эмиль Золя в России;Персональная статья;Золя Э.;Французская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№4117;30.06.1932;4;Подвал;;
Н. Кнорринг;Граф В.А. Соллогуб;Персональная статья;Соллогуб В.А.;Русская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№4121;04.07.1932;2;Подвал;;
Георгий Адамович;Русские письма;Обзорная статья;;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4124;07.07.1932;2;Подвал;;
