number;kind_of_literature;author;text;title_of_excerpt;start_of_excerpt;end_of_excerpt;year;chrestomathy;form;level_of_education;place_of_edition;notes;biblio_id
6354;поэзия;Лермонтов М.Ю.;Свиданье;Ночь;Уж за горой дремучею;;1880;Смирновский Хрест 1 ч;1-2 кл.;СУЗ, городские училища;СПб;;Смирновский Хрест 1 ч__1880
6355;поэзия;Лермонтов М.Ю.;Смерть поэта;На смерть Пушкина;;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
6356;поэзия;Лермонтов М.Ю.;Смерть поэта;На смерть Пушкина;;;1866;Петров Ист Хрест;;;СПб;;Петров Ист Хрест__1866
6357;поэзия;Лермонтов М.Ю.;Смерть поэта;На смерть Пушкина;;;1907;Бубликов;;СУЗ, Семинарии, Городские училища;Спб;;Бубликов__1907
6358;поэзия;Лермонтов М.Ю.;Смерть поэта;На смерть Пушкина;;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
6359;поэзия;Лермонтов М.Ю.;Спор;;;;1860;Шафранов, Николич;;;Ревель;;Шафранов, Николич__1860
6360;поэзия;Лермонтов М.Ю.;Спор;;;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
6361;поэзия;Лермонтов М.Ю.;Спор;;;;1869;Яковлев;;Военные училища, Гимназии;СПб;;Яковлев__1869
6362;поэзия;Лермонтов М.Ю.;Спор;;;;1876;Бунаков МНП;;Гимназии, Военные училища, СУЗ;СПб;;Бунаков МНП__1876
6363;поэзия;Лермонтов М.Ю.;Спор;;;;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
6364;поэзия;Лермонтов М.Ю.;Спор;;;;1899;Вессель Пантеон;;;СПб;;Вессель Пантеон__1899
6365;поэзия;Лермонтов М.Ю.;Спор;;;;1848;Барановский;;;Гельсингфорс;;Барановский__1848
6366;поэзия;Лермонтов М.Ю.;Спор;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
6367;поэзия;Лермонтов М.Ю.;Спор;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
6368;поэзия;Лермонтов М.Ю.;Спор;;;;1907;Бубликов;;СУЗ, Семинарии, Городские училища;Спб;;Бубликов__1907
6369;поэзия;Лермонтов М.Ю.;Спор;;;;1907;Козьмин II Курс 21 издание;;СУЗ;Москва;;Козьмин II Курс 21 издание__1907
6370;поэзия;Лермонтов М.Ю.;Спор;;;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
6371;поэзия;Лермонтов М.Ю.;Спор;;;;1874;Козин Реком МНП;Средние классы;Учебные заведения Прибалтики;Рига, Москва, Одесса;;Козин Реком МНП__1874
6372;поэзия;Лермонтов М.Ю.;Спор;;;;1879;Невзоров Образцовые 1Ку;1-4 кл.;СУЗ;Казань;;Невзоров Образцовые 1Ку__1879
6373;поэзия;Лермонтов М.Ю.;Спор;;;;1880;Смирновский Хрест 2 ч;3-4 кл.;СУЗ, городские училища;СПб;;Смирновский Хрест 2 ч__1880
6374;поэзия;Лермонтов М.Ю.;Спор;;;;1880;Федоров;Средние классы гимназии;Прибалтийские немецкие гимназии;Ревель;;Федоров__1880
6375;поэзия;Лермонтов М.Ю.;Спор;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
6376;поэзия;Лермонтов М.Ю.;Спор;;;;1891;Преображенский;1-3 кл.;СУЗ;Москва;;Преображенский__1891
6377;поэзия;Лермонтов М.Ю.;Спор;;;;1895;Ильенков Хрест;3-5 кл.;СУЗ;Москва;;Ильенков Хрест__1895
6378;поэзия;Лермонтов М.Ю.;Спор;;;;1903;Покровский;3-4 кл.;СУЗ;Москва;;Покровский__1903
6379;поэзия;Лермонтов М.Ю.;Спор;;;;1903;Сальников Хрест по РЛ;7 кл.;Гимназии МНП;СПб;;Сальников Хрест по РЛ__1903
6380;поэзия;Лермонтов М.Ю.;Спор;;;;1904;Шафров Хрест 2 часть;Четвертый отдел;Городские училища;Москва;;Шафров Хрест 2 часть__1904
6381;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1848;Барановский;;;Гельсингфорс;;Барановский__1848
6382;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1860;Шафранов, Николич;;;Ревель;;Шафранов, Николич__1860
6383;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
6384;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1869;Яковлев;;Военные училища, Гимназии;СПб;;Яковлев__1869
6385;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1876;Бунаков МНП;;Гимназии, Военные училища, СУЗ;СПб;;Бунаков МНП__1876
6386;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1880;Павлов Хрест;;Городские, уездные училища;Москва;;Павлов Хрест__1880
6387;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1887;Попов;;;Москва;;Попов__1887
6388;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1891;Баталин Изборник;;СУЗ;Москва;;Баталин Изборник__1891
6389;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1897;Дмитриев Для Наизусть;;Гимназии, реальные училища;Казань;;Дмитриев Для Наизусть__1897
6390;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1903;Соколов Родная речь 9 изд;;СУЗ;Москва;;Соколов Родная речь 9 изд__1903
6391;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1905;Городецкий и др;;Городские училища, Женские училища, Учительские семинарии;Москва;;Городецкий и др__1905
6392;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1907;Бубликов;;СУЗ, Семинарии, Городские училища;Спб;;Бубликов__1907
6393;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1907;Козьмин II Курс 21 издание;;СУЗ;Москва;;Козьмин II Курс 21 издание__1907
6394;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1869;Полевой+МНП;1-3 кл.;Гимназии;СПб;;Полевой+МНП__1869
6395;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1871;Бураковский;6 кл.;Гимназии;СПб;;Бураковский__1871
6396;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1880;Смирновский Хрест 2 ч;3-4 кл.;СУЗ, городские училища;СПб;;Смирновский Хрест 2 ч__1880
6397;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1880;Федоров;Средние классы гимназии;Прибалтийские немецкие гимназии;Ревель;;Федоров__1880
6398;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
6399;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1883;Галлер;6 secunda;Высший уровень всех учебных заведений;Митава;;Галлер__1883
6400;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1885;Сосницкий Теор лит;Старшие классы;СУЗ;Москва;;Сосницкий Теор лит__1885
6401;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1891;Преображенский;1-3 кл.;СУЗ;Москва;;Преображенский__1891
6402;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1903;Кирпичникова КндЧт;Приготовительные классы;;Москва;;Кирпичникова КндЧт__1903
6403;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1904;Шафров Хрест 2 часть;Четвертый отдел;Городские училища;Москва;;Шафров Хрест 2 часть__1904
6404;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1909;Гусева Родн Нива 7 изд;Низшие классы;СУЗ, городские училища;СПб;;Гусева Родн Нива 7 изд__1909
6405;поэзия;Лермонтов М.Ю.;Три пальмы;;;;1861;Ушинский;;;СПб;записано в строку;Ушинский__1861
6406;поэзия;Лермонтов М.Ю.;Три пальмы;Аравийская степь;;;1876;Стоюнин КлРХ;Младшие классы;СУЗ;СПб;;Стоюнин КлРХ__1876
6407;поэзия;Лермонтов М.Ю.;Туча;;;;1895;Ильенков Хрест;3-5 кл.;СУЗ;Москва;;Ильенков Хрест__1895
6408;поэзия;Лермонтов М.Ю.;Тучи;;;;1869;Яковлев;;Военные училища, Гимназии;СПб;;Яковлев__1869
6409;поэзия;Лермонтов М.Ю.;Тучи;;;;1905;Городецкий и др;;Городские училища, Женские училища, Учительские семинарии;Москва;;Городецкий и др__1905
6410;поэзия;Лермонтов М.Ю.;Тучи;;;;1907;Бубликов;;СУЗ, Семинарии, Городские училища;Спб;;Бубликов__1907
6411;поэзия;Лермонтов М.Ю.;Тучи;;;;1908;Острем;;;Гельсингфорс;;Острем__1908
6412;поэзия;Лермонтов М.Ю.;Тучи;;;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
6413;поэзия;Лермонтов М.Ю.;Тучи;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
6414;поэзия;Лермонтов М.Ю.;Тучи;;;;1903;Покровский;3-4 кл.;СУЗ;Москва;;Покровский__1903
6415;поэзия;Лермонтов М.Ю.;Тучи;;Тучки небесные;;1907;Козьмин II Курс 21 издание;;СУЗ;Москва;;Козьмин II Курс 21 издание__1907
6416;поэзия;Лермонтов М.Ю.;Тучки;;;;1876;Бунаков МНП;;Гимназии, Военные училища, СУЗ;СПб;;Бунаков МНП__1876
6417;поэзия;Лермонтов М.Ю.;Умирающий гладиатор;;;;1905;Городецкий и др;;Городские училища, Женские училища, Учительские семинарии;Москва;;Городецкий и др__1905
6418;поэзия;Лермонтов М.Ю.;Умирающий гладиатор;;;;1907;Бубликов;;СУЗ, Семинарии, Городские училища;Спб;;Бубликов__1907
6419;поэзия;Лермонтов М.Ю.;Умирающий гладиатор;;;;1907;Козьмин II Курс 21 издание;;СУЗ;Москва;;Козьмин II Курс 21 издание__1907
6420;поэзия;Лермонтов М.Ю.;Умирающий гладиатор;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
6421;поэзия;Лермонтов М.Ю.;Утес;;;;1872;Полевой Ч3 старш;;Гимназии;СПб;;Полевой Ч3 старш__1872
6422;поэзия;Лермонтов М.Ю.;Утес;;;;1905;Городецкий и др;;Городские училища, Женские училища, Учительские семинарии;Москва;;Городецкий и др__1905
6423;поэзия;Лермонтов М.Ю.;Утес;;;;1907;Бубликов;;СУЗ, Семинарии, Городские училища;Спб;;Бубликов__1907
6424;поэзия;Лермонтов М.Ю.;Утес;;;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
6425;поэзия;Лермонтов М.Ю.;Утес;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
6426;поэзия;Лермонтов М.Ю.;Утес;;;;1903;Покровский;3-4 кл.;СУЗ;Москва;;Покровский__1903
6427;поэзия;Лермонтов М.Ю.;Утро;;;;1903;Покровский;3-4 кл.;СУЗ;Москва;;Покровский__1903
6428;поэзия;Лермонтов М.Ю.;Хаджи-Абрек;Утро в горах;Взошла заря…;;1881;Реймерс;;Гимназии, Училища;Рига;;Реймерс__1881
6429;поэзия;Лермонтов М.Ю.;Хаджи-Абрек;Утро в горах;Взошла заря…;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
6430;проза;Лесков Н.С.;Смех и горе;Гимназист Калатузов;;;1908;Острем;;;Гельсингфорс;;Острем__1908
6431;undefined;Лихачев;Зимняя ночь;;;;1861;Паульсон;;Народные училища;СПб;;Паульсон__1861
6432;undefined;Лихачев;Ручей и море;;;;1861;Паульсон;;Народные училища;СПб;;Паульсон__1861
6433;undefined;Лобанов М.Е.;Гимн при воцарении имп. Николая I;;;;1837;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1837
6434;undefined;Лобанов М.Е.;Ифигения;отрывок;;;1833;Эртель;;;Спб;;Эртель__1833
6435;undefined;Лобанов М.Е.;К Орлу России;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
6436;undefined;Лобанов М.Е.;На смерть грава А.И. Строганова;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6437;undefined;Лобанов М.Е.;На смерть графа А.П. Строгонова;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
6438;undefined;Лобанов М.Е.;Ожидание царя;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6439;undefined;Лобанов М.Е.;Ожидание царя;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
6440;undefined;Лобанов М.Е.;Ожидание царя;;;;1846;Пенинский;Нижние классы гимназии;Уездные училища, гимназии;СПб;;Пенинский__1846
6441;поэзия;Ломоносов М.В.;Буря;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6442;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1830;Островский;3 кл.;Уездные училища;Вильно;;Островский__1830
6443;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
6444;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
6445;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1820;Греч УчКнига;;;СПб;;Греч УчКнига__1820
6446;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6447;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
6448;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
6449;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
6450;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
6451;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1866;Петров Ист Хрест;;;СПб;;Петров Ист Хрест__1866
6452;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1869;Яковлев;;Военные училища, Гимназии;СПб;;Яковлев__1869
6453;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1872;Полевой Ч3 старш;;Гимназии;СПб;;Полевой Ч3 старш__1872
6454;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1876;Бунаков МНП;;Гимназии, Военные училища, СУЗ;СПб;;Бунаков МНП__1876
6455;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1899;Вессель Пантеон;;;СПб;;Вессель Пантеон__1899
6456;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1905;Городецкий и др;;Городские училища, Женские училища, Учительские семинарии;Москва;;Городецкий и др__1905
6457;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1907;Козьмин II Курс 21 издание;;СУЗ;Москва;;Козьмин II Курс 21 издание__1907
6458;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
6459;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
6460;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1888;Баталин Ист-лит Хрест;Старшие классы;Гимназии;Москва;;Баталин Ист-лит Хрест__1888
6461;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1903;Сальников Хрест по РЛ;6 кл.;Гимназии МНП;СПб;;Сальников Хрест по РЛ__1903
6462;поэзия;Ломоносов М.В.;Вечернее размышление о Божием величестве;;;;1904;Шафров Хрест 3 часть;Пятый отдел;Городские училища;Москва;;Шафров Хрест 3 часть__1904
6463;поэзия;Ломоносов М.В.;Волк пастух;;;;1839;Рклицкий. Ч.II;3-4 кл.;;Варшава;;Рклицкий. Ч.II__1839
6464;поэзия;Ломоносов М.В.;Волк пастух;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6465;поэзия;Ломоносов М.В.;Из похвального слова Петру I;;;;1888;Баталин Ист-лит Хрест;Старшие классы;Гимназии;Москва;;Баталин Ист-лит Хрест__1888
6466;поэзия;Ломоносов М.В.;Кузнечик;;;;1860;Шафранов, Николич;;;Ревель;;Шафранов, Николич__1860
6467;поэзия;Ломоносов М.В.;Мокрый амур;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6468;поэзия;Ломоносов М.В.;На взятие Хотина;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6469;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;На восшествие на престол Елисаветы;;;1820;Греч УчКнига;;;СПб;;Греч УчКнига__1820
6470;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;На восшествие на престол имп. Елисаветы;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6471;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;На восшествие на престол имп. Елисаветы;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6472;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;На день восшествия Елизаветы Петровны;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
6473;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;На день восшествия Елисаветы;;;1866;Петров Ист Хрест;;;СПб;;Петров Ист Хрест__1866
6474;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;На день восшествия Елисаветы;;;1897;Дмитриев Для Наизусть;;Гимназии, реальные училища;Казань;;Дмитриев Для Наизусть__1897
6475;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;На день восшествия Елисаветы;;;1907;Бубликов;;СУЗ, Семинарии, Городские училища;Спб;;Бубликов__1907
6476;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;На день восшествия Елисаветы;;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
6477;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;На день восшествия Елисаветы;;;1903;Сальников Хрест по РЛ;6 кл.;Гимназии МНП;СПб;;Сальников Хрест по РЛ__1903
6478;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;На день восшествия на престол Елисавет;;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
6479;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;На день восшествия на престол им. Ел. Петр.;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
6480;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;На день восшествия на престол им. Ел. Петр.;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
6481;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;На день восшествия на престол им. Ел. Петр.;;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
6482;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;На день восшествия на престол им. Ел. Петр.;;;1869;Яковлев;;Военные училища, Гимназии;СПб;;Яковлев__1869
6483;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;На день восшествия на престол им. Ел. Петр.;;;1885;Сосницкий Теор лит;Старшие классы;СУЗ;Москва;;Сосницкий Теор лит__1885
6484;поэзия;Ломоносов М.В.;На прибытие Елисаветы из Мск в СПб;;;;1815;Северин;Средние и старшие классы;;Лейпциг, СПб;;Северин__1815
6485;поэзия;Ломоносов М.В.;О пользе книг церковных;;;;1869;Яковлев;;Военные училища, Гимназии;СПб;;Яковлев__1869
6486;поэзия;Ломоносов М.В.;О пользе стекла;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
6487;поэзия;Ломоносов М.В.;Ода выбранная из Иова;;;;1840;Эртель Цветник;;;СПб;;Эртель Цветник__1840
6488;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;;;;1887;Попов;;;Москва;;Попов__1887
6489;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;;;;1899;Вессель Пантеон;;;СПб;;Вессель Пантеон__1899
6490;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;;;;1905;Городецкий и др;;Городские училища, Женские училища, Учительские семинарии;Москва;;Городецкий и др__1905
6491;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;;;;1879;Невзоров Образцовые 1Ку;1-4 кл.;СУЗ;Казань;;Невзоров Образцовые 1Ку__1879
6492;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
6493;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;Русским юношам;;;1869;Хрест Лицея Цесаревича;1-2 кл.;;Москва;;Хрест Лицея Цесаревича__1869
6494;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;Ода на день восшествия Елисаветы;;;1904;Шафров Хрест 3 часть;Пятый отдел;Городские училища;Москва;;Шафров Хрест 3 часть__1904
6495;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;Ода на день восшествия на престол Елизаветы;;;1876;Бунаков МНП;;Гимназии, Военные училища, СУЗ;СПб;;Бунаков МНП__1876
6496;поэзия;Ломоносов М.В.;Ода на восшествие на престол Елисаветы;Ода на день восшествия на престол Елизаветы;;;1888;Баталин Ист-лит Хрест;Старшие классы;Гимназии;Москва;;Баталин Ист-лит Хрест__1888
6497;поэзия;Ломоносов М.В.;Ода, выбранная из Иова;;;;1805;Гейм (Heym);Старшие классы;;Рига;;Гейм (Heym)__1805
6498;поэзия;Ломоносов М.В.;Ода, выбранная из Иова;;;;1846;Пенинский;Нижние классы гимназии;Уездные училища, гимназии;СПб;;Пенинский__1846
6499;поэзия;Ломоносов М.В.;Ода, выбранная из Иова;;;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
6500;поэзия;Ломоносов М.В.;Ода, выбранная из Иова;;;;1860;Шафранов, Николич;;;Ревель;;Шафранов, Николич__1860
6501;поэзия;Ломоносов М.В.;Ода, выбранная из Иова;;;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
6502;поэзия;Ломоносов М.В.;Ода, выбранная из Иова;;;;1869;Яковлев;;Военные училища, Гимназии;СПб;;Яковлев__1869
6503;поэзия;Ломоносов М.В.;Ода, выбранная из Иова;;;;1872;Полевой Ч3 старш;;Гимназии;СПб;;Полевой Ч3 старш__1872
6504;поэзия;Ломоносов М.В.;Ода, выбранная из Иова;;;;1876;Бунаков МНП;;Гимназии, Военные училища, СУЗ;СПб;;Бунаков МНП__1876
6505;поэзия;Ломоносов М.В.;Ода, выбранная из Иова;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
6506;поэзия;Ломоносов М.В.;Ода, выбранная из Иова;;;;1904;Шафров Хрест 3 часть;Пятый отдел;Городские училища;Москва;;Шафров Хрест 3 часть__1904
6507;поэзия;Ломоносов М.В.;Ода, выбранная из Иова;Ода взятая из Иова;;;1805;Глинка Г;;Уездные училища, гимназии;Митава;;Глинка Г__1805
6508;поэзия;Ломоносов М.В.;Ода, выбранная из Иова;Ода взятая из Иова;;;1810;Таппе А;;;СПб, Рига;;Таппе А__1810
6509;поэзия;Ломоносов М.В.;Ода, выбранная из Иова;Ода, выбранная из книги Иова;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6510;поэзия;Ломоносов М.В.;Ответ Сумарокову;;;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
6511;поэзия;Ломоносов М.В.;Переложение Псалма 1;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6512;поэзия;Ломоносов М.В.;Переложение Псалма 143;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6513;поэзия;Ломоносов М.В.;Переложение Псалма 145;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6514;поэзия;Ломоносов М.В.;Переложение Псалма 49;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6515;поэзия;Ломоносов М.В.;Переложение Псалма 64;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6516;поэзия;Ломоносов М.В.;Петр Великий;отрывок;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6517;поэзия;Ломоносов М.В.;Петриада;Взятие Нотебурга (из поэмы Петр В);;;1860;Шафранов, Николич;;;Ревель;;Шафранов, Николич__1860
6518;поэзия;Ломоносов М.В.;Петриада;Из Петриады;;;1839;Рклицкий. Ч.II;3-4 кл.;;Варшава;;Рклицкий. Ч.II__1839
6519;поэзия;Ломоносов М.В.;Письмо о пользе стекла;;;;1866;Петров Ист Хрест;;;СПб;;Петров Ист Хрест__1866
6520;поэзия;Ломоносов М.В.;Письмо о пользе стекла;;;;1881;Цветков;Средние классы;СУЗ, Гимназии;СПб;;Цветков__1881
6521;поэзия;Ломоносов М.В.;Письмо о пользе стекла;отрывок;;;1888;Баталин Ист-лит Хрест;Старшие классы;Гимназии;Москва;;Баталин Ист-лит Хрест__1888
6522;поэзия;Ломоносов М.В.;Письмо о пользе стекла;О пользе стекла;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
6523;поэзия;Ломоносов М.В.;Письмо о пользе стекла;О пользе стекла;;;1876;Бунаков МНП;;Гимназии, Военные училища, СУЗ;СПб;;Бунаков МНП__1876
6524;поэзия;Ломоносов М.В.;Подражание Иову;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
6525;поэзия;Ломоносов М.В.;Подражание Иову;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
6526;поэзия;Ломоносов М.В.;Подражание Иову;;;;1820;Греч УчКнига;;;СПб;;Греч УчКнига__1820
6527;поэзия;Ломоносов М.В.;Подражание Иову;;;;1829;Золотов 2 часть;;;Москва;;Золотов 2 часть__1829
6528;поэзия;Ломоносов М.В.;Подражание Иову;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
6529;поэзия;Ломоносов М.В.;Подражание Иову;;;;1864;Новаковский Хрест 3 часть;;;СПб;;Новаковский Хрест 3 часть__1864
6530;поэзия;Ломоносов М.В.;Подражание Иову;;;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
6531;поэзия;Ломоносов М.В.;Подражание Иову;;;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
6532;поэзия;Ломоносов М.В.;Поле сражения;;;;1834;Пенинский. Ч.II;;;СПб;;Пенинский. Ч.II__1834
