;author_in_publication;text;name;city;type;issue;year_emigration;description;peculiarity;name_part;pages;name_in_russia;year_russia
167;Цветаева М.;Андрей Шенье взошел на эшафот;Современные записки;Париж;журнал;;05.08.1921;стихи;полный текст;;77;;
168;Цветаева М.;Дорожкою простонародною;Современные записки;Париж;журнал;;05.08.1921;стихи;полный текст;;78;;
169;Цветаева М.;И страшные мне снятся сны;Современные записки;Париж;журнал;;05.08.1921;стихи;полный текст;;79;;
170;Цветаева М.;Хочешь знать, как дни проходят;Современные записки;Париж;журнал;;05.08.1921;стихи;полный текст;;80;;
171;Цветаева М.;Мое убежище от диких орд;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;93;;
172;Цветаева М.;Закинув голову и опустив глаза;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;93;;
173;Цветаева М.;У первой бабки четыре сына;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;94;;
174;Цветаева М.;Тебе — через сто лет;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;95;;
175;Цветаева М.;Идите, старьтесь над считаньем петель;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;96;;
176;Цветаева М.;Але;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;97;;
177;Цветаева М.;«Марина, спасибо за мир!»;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;97;;
178;Цветаева М.;Я не танцую, – без моей вины;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;97;;
179;Цветаева М.;Развела тебе в стакане;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;98;;
180;Цветаева М.;Я – страница твоему перу;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;98;;
181;Цветаева М.;Бабушка;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;99—102;;
182;Цветаева М.;Поступь легкая моя;Современные записки;Париж;журнал;;05.10.1921;стихи;полный текст;;103;;
183;Цветаева М.;Как правая и левая рука;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;120;;
184;Цветаева М.;Солнце – одно, а шагает по всем городам;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;121;;
185;Цветаева М.;Чтобы помнил не часок, не годок;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;122;;
186;Цветаева М.;Нà смех и нà ало;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;123;;
187;Цветаева М.;Со мной не надо говорить;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;124;;
188;Цветаева М.;Ты меня никогда не прогонишь;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;125;;
189;Цветаева М.;Не знаю, где ты и где я;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;126;;
