;author_in_publication;text;name;city;type;issue;year_emigration;description;peculiarity;name_part;pages;name_in_russia;year_russia
1388;Житков Б.;Удав;Руль;Берлин;газета;№2817;02.03.1930;проза;отрывок;В цирке;7;;
1389;Гумилевский Л.;Игра в любовь;Руль;Берлин;газета;№2818;04.03.1930;проза;полный текст;;5—6;;
1390;Богданов Н.;Золотая бритва;Руль;Берлин;газета;№2818;04.03.1930;проза;полный текст;;2—3;;
1391;Гумилевский Л.;Игра в любовь;Руль;Берлин;газета;№2819;05.03.1930;проза;отрывок;;5—6;;
1392;Шагинян М.С.;Смерть;Руль;Берлин;газета;№2835;23.03.1930;проза;полный текст;;2—3;;
1393;Зорич А.;В глуши;Руль;Берлин;газета;№2835;23.03.1930;проза;полный текст;;7—8;;
1394;Романов П.;Московская квартира;Руль;Берлин;газета;№2853;13.04.1930;проза;отрывок;;2—3;;
1395;Павленко П.;Вечер на уездной площади;Руль;Берлин;газета;№2857;18.04.1930;проза;отрывок;;2—3;;
1396;Чичриков Е.;Собралась интеллигенция всех оттенков и цветов;Руль;Берлин;газета;№2863;27.04.1930;проза;полный текст;;7—8;;
1397;Добычин Л.;Портрет;Руль;Берлин;газета;№2864;28.04.1930;проза;отрывок;;4;;
1398;Добычин Л.;Портрет;Руль;Берлин;газета;№2869;06.05.1930;проза;отрывок;;5;;
1399;Арсеньев В.;В дебрях уссурийского края;Руль;Берлин;газета;№2878;16.05.1930;проза;отрывок;Амба;4;;
1400;Арсеньев В.;В дебрях уссурийского края;Руль;Берлин;газета;№2879;17.05.1930;проза;отрывок;Амба;2;;
1401;Лавренев Б.;Адрес судьбы;Руль;Берлин;газета;№2880;18.05.1930;проза;полный текст;;2—3;;
1402;Левин Б.;Новые люди;Руль;Берлин;газета;№2884;23.05.1930;проза;полный текст;;2;;
1403;Никифоров Г.;Глухарь;Руль;Берлин;газета;№2884;23.05.1930;проза;полный текст;;4;;
1404;Яковлев А.;Счастливый штурман;Руль;Берлин;газета;№2887;27.05.1930;проза;полный текст;;4;;
1405;Низовой П.;Хозяин;Руль;Берлин;газета;№2894;05.06.1930;проза;отрывок;Смута;2;Прожектор;
1406;Никитин И.;Азия;Руль;Берлин;газета;№2897;08.06.1930;проза;полный текст;;7;;
1407;Федин К.А.;Старик;Руль;Берлин;газета;№2903;17.06.1930;проза;отрывок;;5—6;;
1408;Федин К.А.;Старик;Руль;Берлин;газета;№2904;18.06.1930;проза;отрывок;;5—6;;
1409;Федин К.А.;Старик;Руль;Берлин;газета;№2905;19.06.1930;проза;отрывок;;3;;
1410;Федин К.А.;Старик;Руль;Берлин;газета;№2906;20.06.1930;проза;отрывок;;5—6;;
1411;Тихонов Н.;Племяш;Руль;Берлин;газета;№2906;20.06.1930;проза;отрывок;;4;;
1412;Федин К.А.;Старик;Руль;Берлин;газета;№2907;21.06.1930;проза;отрывок;;3;;
1413;Тихонов Н.;Племяш;Руль;Берлин;газета;№2907;21.06.1930;проза;отрывок;;2;;
1414;Федин К.А.;Старик;Руль;Берлин;газета;№2908;22.06.1930;проза;отрывок;;5—6;;
1415;Соколов-Микитов И.;Заморские рассказы;Руль;Берлин;газета;№2909;24.06.1930;проза;отрывок;Полет;2;;
1416;Соколов-Микитов И.;Заморские рассказы;Руль;Берлин;газета;№2909;24.06.1930;проза;отрывок;Утки над Берлином;2—3;;
1417;Соколов-Микитов И.;Заморские рассказы;Руль;Берлин;газета;№2909;24.06.1930;проза;отрывок;Самоли;3;;
1418;Федин К.А.;Старик;Руль;Берлин;газета;№2909;24.06.1930;проза;отрывок;;5—6;;
1419;Федин К.А.;Старик;Руль;Берлин;газета;№2910;25.06.1930;проза;отрывок;;5—6;;
1420;Борисов Л.;Отличная память;Руль;Берлин;газета;№2910;25.06.1930;проза;отрывок;;4;;
1421;Федин К.А.;Старик;Руль;Берлин;газета;№2911;26.06.1930;проза;отрывок;;3;;
1422;Федин К.А.;Старик;Руль;Берлин;газета;№2912;27.06.1930;проза;отрывок;;5—6;;
1423;Федин К.А.;Старик;Руль;Берлин;газета;№2913;28.06.1930;проза;отрывок;;3;;
1424;Сейфулина Л.;Гибель;Руль;Берлин;газета;№2914;29.06.1930;проза;отрывок;;5—6;;
1425;Соколов-Микитов И.;Заморские рассказы;Руль;Берлин;газета;№2914;29.06.1930;проза;отрывок;Немецкие зайцы;9;;
1426;Лидин В.;Идут корабли;Руль;Берлин;газета;№3070;01.01.1931;проза;отрывок;;5—6;;
1427;Лидин В.;Идут корабли;Руль;Берлин;газета;№3071;03.01.1931;проза;отрывок;;3;;
1428;Лидин В.;Идут корабли;Руль;Берлин;газета;№3072;04.01.1931;проза;отрывок;;9;;
1429;Зощенко М.М.;Предисловие;Руль;Берлин;газета;№3072;04.01.1931;проза;полный текст;;2, 5;;
1430;Лидин В.;Идут корабли;Руль;Берлин;газета;№3073;06.01.1931;проза;отрывок;;5—6;;
1431;Лидин В.;Идут корабли;Руль;Берлин;газета;№3074;07.01.1931;проза;отрывок;;5—6;;
1432;Лидин В.;Идут корабли;Руль;Берлин;газета;№3075;08.01.1931;проза;отрывок;;3;;
1433;Лидин В.;Идут корабли;Руль;Берлин;газета;№3076;09.01.1931;проза;отрывок;;5—6;;
1434;Лидин В.;Идут корабли;Руль;Берлин;газета;№3077;10.01.1931;проза;отрывок;;3;;
1435;Лидин В.;Идут корабли;Руль;Берлин;газета;№3079;13.01.1931;проза;отрывок;;5—6;;
1436;Лидин В.;Идут корабли;Руль;Берлин;газета;№3080;14.01.1931;проза;отрывок;;4;;
1437;Лидин В.;Идут корабли;Руль;Берлин;газета;№3081;15.01.1931;проза;отрывок;;3;;
1438;Лидин В.;Идут корабли;Руль;Берлин;газета;№3082;16.01.1931;проза;отрывок;;5—6;;
1439;Лидин В.;Идут корабли;Руль;Берлин;газета;№3083;17.01.1931;проза;отрывок;;3;;
1440;Лидин В.;Идут корабли;Руль;Берлин;газета;№3085;20.01.1931;проза;отрывок;;5—6;;
1441;Ильф И. И Петров Е.;12 стульев;Руль;Берлин;газета;№3086;21.01.1931;проза;отрывок;Театр Колумб;2—3;;
1442;Лидин В.;Идут корабли;Руль;Берлин;газета;№3087;22.01.1931;проза;отрывок;;5—6;;
1443;Чуковский К.И.;Рифма;Руль;Берлин;газета;№3087;22.01.1931;проза;полный текст;;2;;
1444;Лидин В.;Идут корабли;Руль;Берлин;газета;№3088;23.01.1931;проза;отрывок;;5—6;;
1445;Лидин В.;Идут корабли;Руль;Берлин;газета;№3089;24.01.1931;проза;отрывок;;3;;
1446;Лидин В.;Идут корабли;Руль;Берлин;газета;№3091;27.01.1931;проза;отрывок;;5—6;;
1447;Лидин В.;Идут корабли;Руль;Берлин;газета;№3092;28.01.1931;проза;отрывок;;5—6;;
1448;Лидин В.;Идут корабли;Руль;Берлин;газета;№3093;29.01.1931;проза;отрывок;;3;;
1449;Лидин В.;Идут корабли;Руль;Берлин;газета;№3094;30.01.1931;проза;отрывок;;5—6;;
1450;Лидин В.;Идут корабли;Руль;Берлин;газета;№3095;31.01.1931;проза;отрывок;;3;;
1451;Иванов Вс.;Из копилки памяти;Руль;Берлин;газета;№3097;03.02.1931;проза;полный текст;;2—3;;
1452;Лидин В.;Идут корабли;Руль;Берлин;газета;№3097;03.02.1931;проза;отрывок;;5—6;;
1453;Лидин В.;Идут корабли;Руль;Берлин;газета;№3098;04.02.1931;проза;отрывок;;5—6;;
1454;Лидин В.;Идут корабли;Руль;Берлин;газета;№3099;05.02.1931;проза;полный текст;;3;;
1455;Лидин В.;Идут корабли;Руль;Берлин;газета;№3100;06.02.1931;проза;полный текст;;5—6;;
1456;Лидин В.;Идут корабли;Руль;Берлин;газета;№3102;08.02.1931;проза;полный текст;;9–10;;
1457;Лидин В.;Идут корабли;Руль;Берлин;газета;№3103;10.02.1931;проза;полный текст;;5—6;;
1458;Лидин В.;Идут корабли;Руль;Берлин;газета;№3104;11.02.1931;проза;полный текст;;5—6;;
1459;Лидин В.;Идут корабли;Руль;Берлин;газета;№3105;12.02.1931;проза;полный текст;;3;;
1460;Лидин В.;Идут корабли;Руль;Берлин;газета;№3106;13.02.1931;проза;полный текст;;5—6;;
1461;Лидин В.;Идут корабли;Руль;Берлин;газета;№3107;14.02.1931;проза;полный текст;;3;;
1462;Маяковский В.В.;Баня;Руль;Берлин;газета;№3108;15.02.1931;драма;отрывок;;2—3, 5;;
1463;Лидин В.;Идут корабли;Руль;Берлин;газета;№3108;15.02.1931;проза;отрывок;;9—10;;
1464;Лидин В.;Идут корабли;Руль;Берлин;газета;№3109;17.02.1931;проза;отрывок;;5—6;;
1465;Лидин В.;Идут корабли;Руль;Берлин;газета;№3110;18.02.1931;проза;отрывок;;5—6;;
1466;Лидин В.;Идут корабли;Руль;Берлин;газета;№3111;19.02.1931;проза;отрывок;;3;;
1467;Лидин В.;Идут корабли;Руль;Берлин;газета;№3112;20.02.1931;проза;отрывок;;5—6;;
1468;Лидин В.;Идут корабли;Руль;Берлин;газета;№3113;21.02.1931;проза;отрывок;;3;;
1469;Лидин В.;Идут корабли;Руль;Берлин;газета;№3114;22.02.1931;проза;отрывок;;9;;
1470;Ардов В.;Случай с «Анной Карениной»;Руль;Берлин;газета;№3114;22.02.1931;проза;полный текст;;8;;
1471;Лидин В.;Идут корабли;Руль;Берлин;газета;№3115;24.02.1931;проза;отрывок;;5—6;;
1472;Лидин В.;Идут корабли;Руль;Берлин;газета;№3116;25.02.1931;проза;отрывок;;5—6;;
1473;Лидин В.;Идут корабли;Руль;Берлин;газета;№3117;26.02.1931;проза;отрывок;;3;;
1474;Лидин В.;Идут корабли;Руль;Берлин;газета;№3118;27.02.1931;проза;отрывок;;5—6;;
1475;Лыньков М.;Беня Балагол;Руль;Берлин;газета;№3118;27.02.1931;проза;полный текст;;2—3;;
1476;Лидин В.;Идут корабли;Руль;Берлин;газета;№3119;28.02.1931;проза;полный текст;;3;;
1477;Стонов Д.;Радио в совхозе;Руль;Берлин;газета;№3124;06.03.1931;проза;полный текст;;4;Правда;
1478;Соколов-Микитов И.;Счастье Асая;Руль;Берлин;газета;№3125;07.03.1931;проза;полный текст;;2;;
1479;Чуковский К.И.;Бобровка;Руль;Берлин;газета;№3130;13.03.1931;проза;полный текст;;4;;
1480;Бедный Д.;Квартет;Руль;Берлин;газета;№3132;15.03.1931;стихи;полный текст;;8;;
1481;Чуковский К.И.;Детский язык;Руль;Берлин;газета;№3145;31.03.1931;проза;полный текст;;4;;
1482;Савич О.;Сказка о двух концах;Руль;Берлин;газета;№3155;14.04.1931;проза;отрывок;;5—6;;
1483;Савич О.;Сказка о двух концах;Руль;Берлин;газета;№3156;15.04.1931;проза;отрывок;;5—6;;
1484;Савич О.;Сказка о двух концах;Руль;Берлин;газета;№3157;16.04.1931;проза;отрывок;;3;;
1485;Савич О.;Сказка о двух концах;Руль;Берлин;газета;№3158;17.04.1931;проза;отрывок;;5;;
1486;Лидин В.;Ганза;Руль;Берлин;газета;№3158;17.04.1931;проза;полный текст;;2—3;;
1487;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3160;19.04.1931;проза;отрывок;;9—10;;
1488;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3161;21.04.1931;проза;отрывок;;5—6;;
1489;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3162;22.04.1931;проза;отрывок;;5—6;;
1490;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3163;23.04.1931;проза;отрывок;;3;;
1491;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3164;24.04.1931;проза;отрывок;;5—6;;
1492;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3165;25.04.1931;проза;отрывок;;3;;
1493;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3166;26.04.1931;проза;отрывок;;5—6;;
1494;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3167;28.04.1931;проза;отрывок;;5—6;;
1495;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3168;29.04.1931;проза;отрывок;;5—6;;
1496;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3169;30.04.1931;проза;отрывок;;3;;
1497;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3170;01.05.1931;проза;отрывок;;5—6;;
1498;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3171;03.05.1931;проза;отрывок;;5—6;;
1499;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3172;05.05.1931;проза;отрывок;;5—6;;
1500;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3173;06.05.1931;проза;отрывок;;5—6;;
1501;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3174;07.05.1931;проза;отрывок;;3;;
1502;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3175;08.05.1931;проза;отрывок;;5—6;;
1503;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3176;09.05.1931;проза;отрывок;;3;;
1504;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3177;10.05.1931;проза;отрывок;;5—6;;
1505;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3178;12.05.1931;проза;отрывок;;5—6;;
1506;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3179;13.05.1931;проза;отрывок;;5—6;;
1507;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3180;14.05.1931;проза;отрывок;;5—6;;
1508;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3181;16.05.1931;проза;отрывок;;3;;
1509;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3182;17.05.1931;проза;отрывок;;5—6;;
1510;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3183;19.05.1931;проза;отрывок;;5—6;;
1511;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3184;20.05.1931;проза;отрывок;;3;;
1512;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3185;21.05.1931;проза;отрывок;;5—6;;
1513;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3186;22.05.1931;проза;отрывок;;3;;
1514;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3187;23.05.1931;проза;отрывок;;5—6;;
1515;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3189;27.05.1931;проза;отрывок;;5—6;;
1516;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3190;28.05.1931;проза;отрывок;;5—6;;
1517;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3191;29.05.1931;проза;отрывок;;3;;
1518;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3192;30.05.1931;проза;отрывок;;5—6;;
1519;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3193;31.05.1931;проза;отрывок;;9—10;;
1520;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3194;02.06.1931;проза;отрывок;;5—6;;
1521;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3195;03.06.1931;проза;отрывок;;3;;
1522;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3196;04.06.1931;проза;отрывок;;5—6;;
1523;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3197;05.06.1931;проза;отрывок;;3;;
1524;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3198;06.06.1931;проза;отрывок;;5—6;;
1525;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3199;07.06.1931;проза;отрывок;;5—6;;
1526;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3200;09.06.1931;проза;отрывок;;5—6;;
1527;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3201;10.06.1931;проза;отрывок;;3;;
1528;Либединский Ю.;Рождение героя;Руль;Берлин;газета;№3202;11.06.1931;проза;отрывок;;5—6;;
1529;Соколов-Микитов И.;Медведи;Руль;Берлин;газета;№3228;11.07.1931;проза;полный текст;;2—3;;
1530;Инбер В.;Ядовитый газ;Руль;Берлин;газета;№3235;19.07.1931;стихи;полный текст;;8;;
1531;Сергеев-Ценский С.Н.;Сказочное имя;Руль;Берлин;газета;№3236;21.07.1931;проза;отрывок;;5—6;;
1532;Сергеев-Ценский С.Н.;Сказочное имя;Руль;Берлин;газета;№3237;22.07.1931;проза;отрывок;;3;;
1533;Сергеев-Ценский С.Н.;Сказочное имя;Руль;Берлин;газета;№3238;23.07.1931;проза;отрывок;;5—6;;
1534;Сергеев-Ценский С.Н.;Сказочное имя;Руль;Берлин;газета;№3239;24.07.1931;проза;отрывок;;3;;
1535;Сергеев-Ценский С.Н.;Сказочное имя;Руль;Берлин;газета;№3240;25.07.1931;проза;отрывок;;5—6;;
1536;Сергеев-Ценский С.Н.;Сказочное имя;Руль;Берлин;газета;№3241;26.07.1931;проза;отрывок;;6, 9;;
1537;Сергеев-Ценский С.Н.;Сказочное имя;Руль;Берлин;газета;№3242;28.07.1931;проза;отрывок;;5—6;;
1538;Зощенко М.М.;Сирень цветет;Руль;Берлин;газета;№3251;07.08.1931;проза;отрывок;;3;;
1539;Зощенко М.М.;Сирень цветет;Руль;Берлин;газета;№3252;08.08.1931;проза;отрывок;;5—6;;
1540;Зощенко М.М.;Сирень цветет;Руль;Берлин;газета;№3253;09.08.1931;проза;отрывок;;5—6;;
1541;Зощенко М.М.;Сирень цветет;Руль;Берлин;газета;№3254;11.08.1931;проза;отрывок;;5—6;;
1542;Зощенко М.М.;Сирень цветет;Руль;Берлин;газета;№3255;12.08.1931;проза;отрывок;;3;;
1543;Зощенко М.М.;Сирень цветет;Руль;Берлин;газета;№3256;13.08.1931;проза;отрывок;;5—6;;
1544;Зощенко М.М.;Сирень цветет;Руль;Берлин;газета;№3257;14.08.1931;проза;отрывок;;3;;
1545;Зощенко М.М.;Сирень цветет;Руль;Берлин;газета;№3258;15.08.1931;проза;отрывок;;5—6;;
1546;Зощенко М.М.;Сирень цветет;Руль;Берлин;газета;№3259;16.08.1931;проза;отрывок;;5—6;;
1547;Зощенко М.М.;Сирень цветет;Руль;Берлин;газета;№3260;18.08.1931;проза;отрывок;;5—6;;
1548;Зощенко М.М.;Сирень цветет;Руль;Берлин;газета;№3261;19.08.1931;проза;отрывок;;3;;
1549;Крюковской Я.;И так и эдак;Руль;Берлин;газета;№3279;09.09.1931;проза;отрывок;Речь середняка Селезнева;2;Из сборника рассказов Тульских, Новгородских и Воронежских;
1550;Крюковской Я.;И так и эдак;Руль;Берлин;газета;№3279;09.09.1931;проза;отрывок;Марля;2;Из сборника рассказов Тульских, Новгородских и Воронежских;
1551;Крюковской Я.;На квартире Сафьяновых;Руль;Берлин;газета;№3280;10.09.1931;проза;отрывок;;5—6;;
1552;Крюковской Я.;На квартире Сафьяновых;Руль;Берлин;газета;№3281;11.09.1931;проза;отрывок;;5—6;;
1553;Крюковской Я.;На квартире Сафьяновых;Руль;Берлин;газета;№3282;12.09.1931;проза;отрывок;;5—6;;
1554;Крюковской Я.;На квартире Сафьяновых;Руль;Берлин;газета;№3283;13.09.1931;проза;отрывок;;9;;
1555;Соколов-Микитов И.;Поход «Малыгина»;Руль;Берлин;газета;№3288;19.09.1931;проза;полный текст;;2—3;;
1556;Крюковской Я.;И так и эдак;Руль;Берлин;газета;№3301;04.10.1931;проза;отрывок;Вася Белов;9—10;;
1557;Пильняк Б.А.;Жулики;Иллюстрированная Россия;Париж;журнал;№26;01.09.1925;проза;полный текст;;8—11;Огонек;
1558;Яковлев А.;Повольники;Иллюстрированная Россия;Париж;журнал;№27;15.09.1925;проза;полный текст;;1—9;;
1559;Сейфулина Л.;Инструктор «красного молодежа»;Иллюстрированная Россия;Париж;журнал;№32;01.12.1925;проза;полный текст;;1—4;;
1560;Федин К.А.;Еж;Иллюстрированная Россия;Париж;журнал;№1(34);01.01.1926;проза;полный текст;;1—2;;
1561;Сейфулина Л.;Два друга;Иллюстрированная Россия;Париж;журнал;№3(36);16.01.1926;проза;полный текст;;1—4;Молодняк;
1562;Инбер В.;Вода и слезы;Иллюстрированная Россия;Париж;журнал;№4(37);23.01.1926;проза;полный текст;;4—6;Огонек;
1563;Сокольский Г.З.;Честный подход;Иллюстрированная Россия;Париж;журнал;№5(38);30.01.1926;проза;полный текст;;5—8;Красная новь;
1564;Есенин С.А.;Слышишь, мчатся сани, слышишь сани мчатся;Иллюстрированная Россия;Париж;журнал;№6(39);06.02.1926;стихи;полный текст;;8;;
1565;Есенин С.А.;Вечером синим, вечером лунным;Иллюстрированная Россия;Париж;журнал;№6(39);06.02.1926;стихи;полный текст;;8;;
1566;Есенин С.А.;Голубая кофта, синие глаза;Иллюстрированная Россия;Париж;журнал;№6(39);06.02.1926;стихи;полный текст;;8;;
1567;Есенин С.А.;Снежная замять крутит бойко;Иллюстрированная Россия;Париж;журнал;№6(39);06.02.1926;стихи;полный текст;;8;;
1568;Дейч А.;Ночь Фрейда Гопкинса;Иллюстрированная Россия;Париж;журнал;№7(40);13.02.1926;проза;полный текст;;2, 3—6;Красная новь;
1569;Литвинова А.;Не поняла;Иллюстрированная Россия;Париж;журнал;№7(40);13.02.1926;проза;полный текст;;8, 10—11;Огонек;
1570;Федин К.А.;Блинки;Иллюстрированная Россия;Париж;журнал;№8(41);20.02.1926;проза;полный текст;;1—2;Сов сборн;
1571;Листопадов М.;Травленный волк;Иллюстрированная Россия;Париж;журнал;№10(43);06.03.1926;проза;полный текст;;1—4;Красная новь;
1572;Курилюк В.М.;Конец и начало;Иллюстрированная Россия;Париж;журнал;№12(45);20.03.1926;проза;полный текст;;8,10,12,14;Красная новь;
1573;Саянский Л.;Телефонограмма;Иллюстрированная Россия;Париж;журнал;№14(47);03.04.1926;проза;полный текст;;6—8;;
1574;Зощенко М.М.;Аристократка;Иллюстрированная Россия;Париж;журнал;№21(54);22.05.1926;проза;полный текст;;1,4;Сов сборн;
1575;Зощенко М.М.;Баня;Иллюстрированная Россия;Париж;журнал;№23(56);05.06.1926;проза;полный текст;;5—6;Сов сборн;
1576;Романов П.;Страх;Иллюстрированная Россия;Париж;журнал;№24(57);12.06.1926;проза;полный текст;;6—8;Правда;
1577;Зощенко М.М.;Жених;Иллюстрированная Россия;Париж;журнал;№25(58);19.06.1926;проза;полный текст;;10—11;Сов сборн;
1578;Зощенко М.М.;Искусство Мельпомены;Иллюстрированная Россия;Париж;журнал;№25(58);19.06.1926;проза;полный текст;;11;Сов сборн;
1579;Стонов Д.;Брага;Иллюстрированная Россия;Париж;журнал;№28(61);10.07.1926;проза;полный текст;;1—2, 4, 6—7;Красная новь;
1580;Романов П.;Любовь;Иллюстрированная Россия;Париж;журнал;№29(62);14.07.1926;проза;полный текст;;7—12;;
1581;Зощенко М.М.;Святочная история;Иллюстрированная Россия;Париж;журнал;№30(63);24.07.1926;проза;полный текст;;8—9;Сов сборн;
1582;Зощенко М.М.;Шипы и розы;Иллюстрированная Россия;Париж;журнал;№30(63);24.07.1926;проза;полный текст;;9—10;Сов сборн;
1583;Романов П.;Неподходящий человек;Иллюстрированная Россия;Париж;журнал;№32(65);07.08.1926;проза;полный текст;;1—5;Сов сборн;
1584;Грин А.С.;Золотий пруд;Иллюстрированная Россия;Париж;журнал;№33(66);14.08.1926;проза;полный текст;;18—19;;
1585;Бабель И.Э.;Эскадронный Трунов;Иллюстрированная Россия;Париж;журнал;№34(67);21.08.1926;проза;полный текст;;1—5;Сов сборн;
1586;Грин А.С.;Позорный столб;Иллюстрированная Россия;Париж;журнал;№34(67);21.08.1926;проза;полный текст;;16—18;Сов сборн;
1587;Карпов Н.А.;Ходатай по делам;Иллюстрированная Россия;Париж;журнал;№35(68);28.08.1926;проза;полный текст;;6—7;;
1588;Карпов Н.А.;Калиф на час;Иллюстрированная Россия;Париж;журнал;№35(68);28.08.1926;проза;полный текст;;7—8;;
1589;Карпов Н.А.;По рабкредиту;Иллюстрированная Россия;Париж;журнал;№35(68);28.08.1926;проза;полный текст;;8—9;;
1590;Есенин С.А.;Русь советская;Иллюстрированная Россия;Париж;журнал;№36(69);04.09.1926;стихи;полный текст;;8—9;;
1591;Зощенко М.М.;Воры;Иллюстрированная Россия;Париж;журнал;№36(69);04.09.1926;проза;полный текст;;15;;
1592;Зощенко М.М.;Бедность;Иллюстрированная Россия;Париж;журнал;№36(69);04.09.1926;проза;полный текст;;15—16;;
1593;Зощенко М.М.;Герой;Иллюстрированная Россия;Париж;журнал;№36(69);04.09.1926;проза;полный текст;;16;;
1594;Зощенко М.М.;Американцы;Иллюстрированная Россия;Париж;журнал;№36(69);04.09.1926;проза;полный текст;;17—18;;
1595;Шишков В.;На пляже;Иллюстрированная Россия;Париж;журнал;№37(70);11.09.1926;проза;полный текст;;11—12;;
1596;Карпов Н.А.;Восемь фунтов;Иллюстрированная Россия;Париж;журнал;№37(70);11.09.1926;проза;полный текст;;12—14;;
1597;Грамен Н.К.;Трагедия пола;Иллюстрированная Россия;Париж;журнал;№38(71);18.09.1926;проза;полный текст;;1;Сов сборн;
1598;Грамен Н.К.;Об оживлении работы;Иллюстрированная Россия;Париж;журнал;№38(71);18.09.1926;проза;полный текст;;1—2;Сов сборн;
1599;Грамен Н.К.;Гибель Хрыкина;Иллюстрированная Россия;Париж;журнал;№38(71);18.09.1926;проза;полный текст;;2,4,6;Сов сборн;
1600;Грамен Н.К.;Партдень Угрюмычева;Иллюстрированная Россия;Париж;журнал;№38(71);18.09.1926;проза;полный текст;;6—7;Сов сборн;
1601;Митницкий Л.;Кругом шешнадцать;Иллюстрированная Россия;Париж;журнал;№40(73);02.10.1926;проза;полный текст;;1;;
1602;Митницкий Л.;Матерьялизма;Иллюстрированная Россия;Париж;журнал;№40(73);02.10.1926;проза;полный текст;;1—2;;
1603;Митницкий Л.;Чуждый элемент;Иллюстрированная Россия;Париж;журнал;№40(73);02.10.1926;проза;полный текст;;2,4;;
1604;Соболь А.;Любовь на Арбате;Иллюстрированная Россия;Париж;журнал;№42(75);16.10.1926;проза;полный текст;;1—4,6;Сов сборн;
1605;Перегудов А.;Петухи;Иллюстрированная Россия;Париж;журнал;№44(77);30.10.1926;проза;полный текст;;1—2, 4, 6;Красная новь;
1606;Романов П.;Итальянская бухгалтерия;Иллюстрированная Россия;Париж;журнал;№49(82);04.12.1926;проза;полный текст;;12;;
1607;Романов П.;Лабиринт;Иллюстрированная Россия;Париж;журнал;№1(86);01.01.1927;проза;полный текст;;6, 8;Сов сборн;
1608;Чуковский К.И.;Телефон;Иллюстрированная Россия;Париж;журнал;№1(86);01.01.1927;стихи;полный текст;;10—11;;
1609;Романов П.;Гайка;Иллюстрированная Россия;Париж;журнал;№3(88);15.01.1927;проза;полный текст;;10, 12—13;Сов сборн;
1610;Толстой А.Н.;Случай на Бассейной улице;Иллюстрированная Россия;Париж;журнал;№6(91);05.02.1927;проза;отрывок;;1, 2, 4, 6—9;Сов сборн;
1611;Тренев К.;Эдесские угодники;Иллюстрированная Россия;Париж;журнал;№7(92);12.02.1927;проза;отрывок;;1—6;Сов сборн;
1612;Воинов В.;Соломонов суд;Иллюстрированная Россия;Париж;журнал;№7(92);12.02.1927;проза;полный текст;;18—19;;
1613;Подъячев С.П.;Старички;Иллюстрированная Россия;Париж;журнал;№10(95);05.03.1927;проза;полный текст;;1—2, 4;Сов сборн;
1614;Козырев М.;Приставки;Иллюстрированная Россия;Париж;журнал;№12(97);19.03.1927;проза;полный текст;;14—15;Красная газета;
1615;Тоболяков В.;Баба;Иллюстрированная Россия;Париж;журнал;№13(98);26.03.1927;проза;полный текст;;1;Красная газета;
1616;Лебедев В.;На волоске;Иллюстрированная Россия;Париж;журнал;№13(98);26.03.1927;проза;полный текст;;20—21;Красная газета;
1617;Грин А.С.;Два обещания;Иллюстрированная Россия;Париж;журнал;№19(104);07.05.1927;проза;полный текст;;1—2,4,6;;
