number;author;gender;text;title_of_textbook;kind_of_literature;year;genre;whole;retelling;start_of_textbook;compiler;place_of_edition;year_of_edition;level_of_education;kind_of_book;part_of_edition;notes;biblio_id
2138;Крылов И.А.;м;Зеркало и обезьяна;undefined;поэзия;1816;басня;да;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2139;undefined;undefined;Доктор в школе;undefined;проза;undefined;undefined;undefined;undefined;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2140;Лукашевич К.В.;м;У больного учителя;undefined;проза;undefined;undefined;undefined;undefined;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2141;Крылов И.А.;м;Мартышка и очки;undefined;поэзия;1815;басня;да;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2142;Радич;м;Письмо учительнице;undefined;проза;undefined;письмо;undefined;undefined;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2143;Ушинский К.Д.;м;Бодливая корова;undefined;проза;18??;рассказ;нет;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2144;фольклор;undefined;Милости просим;undefined;проза;фольклор;сказка;нет;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2145;фольклор;undefined;Веселье;undefined;поэзия;фольклор;песня;нет;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2146;Ушинский К.Д.;м;Орел и кошка;undefined;проза;18??;рассказ;undefined;undefined;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2147;фольклор;undefined;Вперед не загадывай;undefined;проза;фольклор;рассказ;undefined;undefined;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2148;Пожарова М.А.;ж;Кто это?;undefined;поэзия;undefined;undefined;undefined;undefined;уж я пожужжу;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2149;Шведер Е.М.;м;Добрая галка;undefined;проза;undefined;undefined;undefined;undefined;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2150;Сысоев;м;Чик-чирик;undefined;проза;undefined;undefined;undefined;undefined;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2151;undefined;undefined;Слепой дедушка;undefined;проза;undefined;undefined;undefined;undefined;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2152;Некрасов Н.А.;м;Кому на Руси жить хорошо?;Банька;поэзия;1874;поэма;нет;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;да не каноничный отрывок(;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2153;Плещеев А.Н.;м;Мой садик;undefined;поэзия;1858;стихотворение;да;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
