;author_in_publication;text;name;city;type;issue ;year_publ_in_emigration;date_publ_in_emigration;description ;peculiarity;name_part;pages;year_first_in_russia;date_publ_in_russia;name_in_russia;issue_russia;source 
;Слезкин Ю.;О превратностях судьбы Лесники Гук;Накануне ;Берлин;Литературное приложение ;№316(№49);1923;22.04.;проза;полный текст;;1—5;;;;;
;Слезкин Ю.;Заветная кубышка;Накануне ;Берлин;Литературное приложение ;№338(№53);1923;20.05.;проза;отрывок;Страница авантюры ;1—3;;;;;
;Шторм Г.;Идешь, бредешь по мостовой ;Накануне ;Берлин;Литературное приложение ;№349(№55);1923;03.06.;стихи;полный текст;;1;;;;;
;Иванов Вс.;Голубые пески;Накануне ;Берлин;Литературное приложение ;№349(№55);1923;03.06.;проза;отрывок;Атаман Трубычев и Василий Запус;2—7;;;;;Петербург, 1922г
;Шторм Г.;Янычар;Накануне ;Берлин;Литературное приложение ;№361(№57);1923;17.06.;проза;полный текст;;1—2;;;;;Москва, 1923 г.
;Глубоковский Б.;Московские каприччио;Накануне ;Берлин;Литературное приложение ;№361(№57);1923;17.06.;проза;отрывок;В ночь на 31 февраля;2—4;;;;;
;Слезкин Ю.;Савватий Анисимович;Накануне ;Берлин;Литературное приложение ;№373(№59);1923;01.07.;проза;полный текст;;1—3;;;;;
;Апушкин Я.;Отрывки из поэмы;Накануне ;Берлин;Литературное приложение ;№430;1923;09.09.;;полный текст;;;;;;;
;Волин Ю.;Негр Магмури;Накануне ;Берлин;Литературное приложение ;№430;1923;09.09.;;полный текст;;;;;;;
;Соколов-Микитов И.;Конокрад;Накануне ;Берлин;Литературное приложение ;№623(№106);1924;11.05.;проза;полный текст;;1;;;;;
;Слезкин Ю.;Писатель, критик и «рецензент» (литературный фельетон);Накануне ;Берлин;Литературное приложение ;№623(№106);1924;11.05.;проза;полный текст;;5–6;;;;;
;Шестаков Н.;Рыбий пузырь;Накануне ;Берлин;Литературное приложение ;№629(№112);1924;18.05.;проза;отрывок;;1–3;;;;;Москва
;Брюсов В.Я.;Миг;Издательство Гржебина;"Берлин, Петербург
";издательство;;1922;;;;;;;;;;
;Булгаков П.И.;"Жадность 
";Издательство Гржебина;"Берлин, Петербург, Москва
";издательство;;1923;;;;;;;;;;
;"Гумилев Н.С. 
";"Костер 
";Издательство Гржебина;"Берлин, Петербург, Москва
";издательство;;1920;;;;;;;;;;
;Гумилев Н.С.;"Костер 
";Издательство Гржебина;"Берлин, Петербург
";издательство;;1922;;;;;;;;;;
;Горький М.;Воспоминания о Льве Николаевиче Толстом ;Издательство Гржебина;Берлин;издательство;;1922;;;;;;1919;;;;
;"Есенин С.А. 
";Собрание стихов и поэм. Т. 1.;Издательство Гржебина;Берлин, Петербург, Москва;издательство;;1922;;;;;;;;;;
;"Замятин Е.И. 
";"Большим детям сказки 
";Издательство Гржебина;Берлин, Петербург, Москва;издательство;;1922;;;;;;;;;;
;"Замятин Е.И. 
";"На куличках 
";Издательство Гржебина;Берлин;издательство;;1923;;;;;;;;;;
;"Замятин Е.И. 
";"Островитяне 
";Издательство Гржебина;"Берлин, Петербург
";издательство;;1922;;;;;;;;;;
;"Замятин Е.И. 
";"Островитяне 
";Издательство Гржебина;Берлин, Петербург, Москва;издательство;;1923;;;;;;;;;;
;"Петербургский альманах. (В книгу вошли произведения А. А. Блока, А. М. Горького, Б. К. Зайцева, Е. И. Замятина, А. М. Ремизова, Ф. К. Сологуба, В. Я. Шишкова.)
";;Издательство Гржебина;"Берлин, Петербург
";издательство;;1922;;;;;;;;;;
;"Новиков И.А.  ";Жертва;Издательство Гржебина;Берлин;издательство;;1923;;;;;;;;;;
;Пастернак Б.Л.;Сестра моя — жизнь ;Издательство Гржебина;Берлин, Петербург, Москва;издательство;;1923;;;;;;;;;;
;"Пильняк Б.А. ";Голый год;Издательство Гржебина;"Берлин, Петербург
";издательство;;1922;;;;;;;;;;
;"Пильняк Б.А.
";Иван-да-Марья;Издательство Гржебина;Берлин, Петербург, Москва;издательство;;1922;;;;;;;;;;
;Подъячев С.П. ;"Жизнь мужицкая ";Издательство Гржебина;"Берлин, Петербург
";издательство;;1923;;;;;;;;;;
;Подъячев С.П. ;Ревность ;Издательство Гржебина;Берлин;издательство;;;;;;;;;;;;
;"Пяст В.А. ";"Лирика 
";Издательство Гржебина;Берлин;издательство;;1922;;;;;;;;;;
;"Пяст В.А. ";Львиная пасть;Издательство Гржебина;Берлин, Петербург, Москва;издательство;;1922;;;;;;;;;;
;"Пяст В.А. ";"Ограда 
";Издательство Гржебина;"Берлин, Петербург, Москва
";издательство;;1922;;;;;;;;;;
;"Пяст В.А. ";"Третья книга лирики 
";Издательство Гржебина;"Берлин, Петербург, Москва
";издательство;;1922;;;;;;;;;;
;Сергеев-Ценский С.Н.;Чудо;Издательство Гржебина;Берлин;издательство;;1923;;;;;;;;;;
;Телешов Н.Д.;Рассказы;Издательство Гржебина;Берлин, Петербург, Москва;издательство;;1922;;;;;;;;;;
;Форш О.Д.;Смерть Коперника;Издательство Гржебина;Берлин, Петербург, Москва;издательство;;1922;;;;;;;;;;
;Чапыгин А.П.;Белый скит;Издательство Гржебина;Берлин, Петербург, Москва;издательство;;1922;;;;;;;;;;
;Шагинян М.С.;"Orientalia ";Издательство Гржебина;"Берлин, Петербург
";издательство;;1921;;;;;;;;;;
;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;1920;ноябрь;проза;полный текст;Бес да инок;36—48;;;;;
;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;1920;ноябрь;проза;полный текст;Месяц да солнце ;36—48;;;;;
;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;1920;ноябрь;проза;полный текст;Про свинью жирную;36—48;;;;;
;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;1920;ноябрь;проза;полный текст;Дед да внук;36—48;;;;;
;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;;ноябрь;проза;полный текст;Петух да гусыня;36—48;;;;;
;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;1920;ноябрь;проза;полный текст;Про медведя да осиновый кол с голосом;36—48;;;;;
;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;1920;ноябрь;проза;полный текст;Про безродного чертяку;36—48;;;;;
;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;1920;ноябрь;проза;полный текст;Кобыла да чучел;36—48;;;;;
;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;1920;ноябрь;проза;полный текст;Мужик в пекле;36—48;;;;;
;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;1920;ноябрь;проза;полный текст;Фабричный мужик;36—48;;;;;
;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;1920;ноябрь;проза;полный текст;Про корову бодучую;36—48;;;;;
;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;1920;ноябрь;проза;полный текст;Про купца да ягодку;36—48;;;;;
;Федорченко С.;Сказки ;Современные записки;Париж;журнал;;1920;ноябрь;проза;полный текст;Как ворона за курицу служила;36—48;;;;;
;Цветаева М.;Пожирающий огонь-мой конь;Современные записки;Париж;журнал;;1920;ноябрь;стихи ;полный текст;;49;;;;;
;Цветаева М.;Чердачный дворец мой, дворцовый чердак;Современные записки;Париж;журнал;;1920;ноябрь;стихи ;полный текст;;49;;;;;
;Цветаева М.;Есть колосья тучные, есть колосья тощие;Современные записки;Париж;журнал;;1920;ноябрь;стихи ;полный текст;;50;;;;;
;Цветаева М.;Благословляю ежедневный труд;Современные записки;Париж;журнал;;1920;ноябрь;стихи ;полный текст;;50;;;;;
;Федорченко С.;Сказки и песни буковинские;Современные записки;Париж;журнал;;1921;27.02;проза;полный текст;;95—101;;;;;
;Волошин М.;Европа;Современные записки;Париж;журнал;;1921;17.04;стихи;полный текст;;86—88;;;;;
;Волошин М.;Стенькин суд;Современные записки;Париж;журнал;;1921;17.04;стихи;полный текст;;89—91;;;;;
;Волошин М.;Дмитрий Император 1591-1613 гг.;Современные записки;Париж;журнал;;1921;17.04;стихи ;полный текст;;92—94;;;;;
;Волошин М.;Святая Русь;Современные записки;Париж;журнал;;1921;17.04;стихи ;полный текст;;95—96;;;;;
;Волошин М.;Молитва о городе: Феодосия в марте 1918 г.;Современные записки;Париж;журнал;;1921;17.04;стихи ;полный текст;;97—99;;;;;
;Волошин М.;Видение Иезекииля;Современные записки;Париж;журнал;;1921;09.06;стихи ;полный текст;;99—101;;;;;
;Волошин М.;Пресуществление;Современные записки;Париж;журнал;;1921;09.06;стихи ;полный текст;;102—103;;;;;
;Цветаева М.;Если душа родилась крылатой ;Современные записки;Париж;журнал;;1921;05.08;стихи ;полный текст;;74;;;;;
;Цветаева М.;Высоко мое оконце!;Современные записки;Париж;журнал;;1921;05.08;стихи ;полный текст;;75;;;;;
;Цветаева М.;Семь мечей пронзали сердце;Современные записки;Париж;журнал;;1921;05.08;стихи ;полный текст;;76;;;;;
;Цветаева М.;Андрей Шенье взошел на эшафот;Современные записки;Париж;журнал;;1921;05.08;стихи ;полный текст;;77;;;;;
;Цветаева М.;Дорожкою простонародною;Современные записки;Париж;журнал;;1921;05.08;стихи ;полный текст;;78;;;;;
;Цветаева М.;И страшные мне снятся сны;Современные записки;Париж;журнал;;1921;05.08;стихи ;полный текст;;79;;;;;
;Цветаева М.;Хочешь знать, как дни проходят;Современные записки;Париж;журнал;;1921;05.08;стихи ;полный текст;;80;;;;;
;Цветаева М.;Мое убежище от диких орд;Современные записки;Париж;журнал;;1921;05.10;стихи ;полный текст;;93;;;;;
;Цветаева М.;Закинув голову и опустив глаза;Современные записки;Париж;журнал;;1921;05.10;стихи ;полный текст;;93;;;;;
;Цветаева М.;У первой бабки четыре сына;Современные записки;Париж;журнал;;1921;05.10;стихи ;полный текст;;94;;;;;
;Цветаева М.;Тебе — через сто лет;Современные записки;Париж;журнал;;1921;05.10;стихи ;полный текст;;95;;;;;
